image_path,organ,label
..\Progetto\Dataset\colon lung 15000\colon_image_sets\c.adenocarcinoma\colonca1.jpeg,colon_image_sets,c.adenocarcinoma
..\Progetto\Dataset\colon lung 15000\colon_image_sets\c.adenocarcinoma\colonca10.jpeg,colon_image_sets,c.adenocarcinoma
..\Progetto\Dataset\colon lung 15000\colon_image_sets\c.adenocarcinoma\colonca100.jpeg,colon_image_sets,c.adenocarcinoma
..\Progetto\Dataset\colon lung 15000\colon_image_sets\c.adenocarcinoma\colonca1000.jpeg,colon_image_sets,c.adenocarcinoma
..\Progetto\Dataset\colon lung 15000\colon_image_sets\c.adenocarcinoma\colonca1001.jpeg,colon_image_sets,c.adenocarcinoma
..\Progetto\Dataset\colon lung 15000\colon_image_sets\c.adenocarcinoma\colonca1002.jpeg,colon_image_sets,c.adenocarcinoma
..\Progetto\Dataset\colon lung 15000\colon_image_sets\c.adenocarcinoma\colonca1003.jpeg,colon_image_sets,c.adenocarcinoma
..\Progetto\Dataset\colon lung 15000\colon_image_sets\c.adenocarcinoma\colonca1004.jpeg,colon_image_sets,c.adenocarcinoma
..\Progetto\Dataset\colon lung 15000\colon_image_sets\c.adenocarcinoma\colonca1005.jpeg,colon_image_sets,c.adenocarcinoma
..\Progetto\Dataset\colon lung 15000\colon_image_sets\c.adenocarcinoma\colonca1006.jpeg,colon_image_sets,c.adenocarcinoma
..\Progetto\Dataset\colon lung 15000\colon_image_sets\c.adenocarcinoma\colonca1007.jpeg,colon_image_sets,c.adenocarcinoma
..\Progetto\Dataset\colon lung 15000\colon_image_sets\c.adenocarcinoma\colonca1008.jpeg,colon_image_sets,c.adenocarcinoma
..\Progetto\Dataset\colon lung 15000\colon_image_sets\c.adenocarcinoma\colonca1009.jpeg,colon_image_sets,c.adenocarcinoma
..\Progetto\Dataset\colon lung 15000\colon_image_sets\c.adenocarcinoma\colonca101.jpeg,colon_image_sets,c.adenocarcinoma
..\Progetto\Dataset\colon lung 15000\colon_image_sets\c.adenocarcinoma\colonca1010.jpeg,colon_image_sets,c.adenocarcinoma
..\Progetto\Dataset\colon lung 15000\colon_image_sets\c.adenocarcinoma\colonca1011.jpeg,colon_image_sets,c.adenocarcinoma
..\Progetto\Dataset\colon lung 15000\colon_image_sets\c.adenocarcinoma\colonca1012.jpeg,colon_image_sets,c.adenocarcinoma
..\Progetto\Dataset\colon lung 15000\colon_image_sets\c.adenocarcinoma\colonca1013.jpeg,colon_image_sets,c.adenocarcinoma
..\Progetto\Dataset\colon lung 15000\colon_image_sets\c.adenocarcinoma\colonca1014.jpeg,colon_image_sets,c.adenocarcinoma
..\Progetto\Dataset\colon lung 15000\colon_image_sets\c.adenocarcinoma\colonca1015.jpeg,colon_image_sets,c.adenocarcinoma
..\Progetto\Dataset\colon lung 15000\colon_image_sets\c.adenocarcinoma\colonca1016.jpeg,colon_image_sets,c.adenocarcinoma
..\Progetto\Dataset\colon lung 15000\colon_image_sets\c.adenocarcinoma\colonca1017.jpeg,colon_image_sets,c.adenocarcinoma
..\Progetto\Dataset\colon lung 15000\colon_image_sets\c.adenocarcinoma\colonca1018.jpeg,colon_image_sets,c.adenocarcinoma
..\Progetto\Dataset\colon lung 15000\colon_image_sets\c.adenocarcinoma\colonca1019.jpeg,colon_image_sets,c.adenocarcinoma
..\Progetto\Dataset\colon lung 15000\colon_image_sets\c.adenocarcinoma\colonca102.jpeg,colon_image_sets,c.adenocarcinoma
..\Progetto\Dataset\colon lung 15000\colon_image_sets\c.adenocarcinoma\colonca1020.jpeg,colon_image_sets,c.adenocarcinoma
..\Progetto\Dataset\colon lung 15000\colon_image_sets\c.adenocarcinoma\colonca1021.jpeg,colon_image_sets,c.adenocarcinoma
..\Progetto\Dataset\colon lung 15000\colon_image_sets\c.adenocarcinoma\colonca1022.jpeg,colon_image_sets,c.adenocarcinoma
..\Progetto\Dataset\colon lung 15000\colon_image_sets\c.adenocarcinoma\colonca1023.jpeg,colon_image_sets,c.adenocarcinoma
..\Progetto\Dataset\colon lung 15000\colon_image_sets\c.adenocarcinoma\colonca1024.jpeg,colon_image_sets,c.adenocarcinoma
..\Progetto\Dataset\colon lung 15000\colon_image_sets\c.adenocarcinoma\colonca1025.jpeg,colon_image_sets,c.adenocarcinoma
..\Progetto\Dataset\colon lung 15000\colon_image_sets\c.adenocarcinoma\colonca1026.jpeg,colon_image_sets,c.adenocarcinoma
..\Progetto\Dataset\colon lung 15000\colon_image_sets\c.adenocarcinoma\colonca1027.jpeg,colon_image_sets,c.adenocarcinoma
..\Progetto\Dataset\colon lung 15000\colon_image_sets\c.adenocarcinoma\colonca1028.jpeg,colon_image_sets,c.adenocarcinoma
..\Progetto\Dataset\colon lung 15000\colon_image_sets\c.adenocarcinoma\colonca1029.jpeg,colon_image_sets,c.adenocarcinoma
..\Progetto\Dataset\colon lung 15000\colon_image_sets\c.adenocarcinoma\colonca103.jpeg,colon_image_sets,c.adenocarcinoma
..\Progetto\Dataset\colon lung 15000\colon_image_sets\c.adenocarcinoma\colonca1030.jpeg,colon_image_sets,c.adenocarcinoma
..\Progetto\Dataset\colon lung 15000\colon_image_sets\c.adenocarcinoma\colonca1031.jpeg,colon_image_sets,c.adenocarcinoma
..\Progetto\Dataset\colon lung 15000\colon_image_sets\c.adenocarcinoma\colonca1032.jpeg,colon_image_sets,c.adenocarcinoma
..\Progetto\Dataset\colon lung 15000\colon_image_sets\c.adenocarcinoma\colonca1033.jpeg,colon_image_sets,c.adenocarcinoma
..\Progetto\Dataset\colon lung 15000\colon_image_sets\c.adenocarcinoma\colonca1034.jpeg,colon_image_sets,c.adenocarcinoma
..\Progetto\Dataset\colon lung 15000\colon_image_sets\c.adenocarcinoma\colonca1035.jpeg,colon_image_sets,c.adenocarcinoma
..\Progetto\Dataset\colon lung 15000\colon_image_sets\c.adenocarcinoma\colonca1036.jpeg,colon_image_sets,c.adenocarcinoma
..\Progetto\Dataset\colon lung 15000\colon_image_sets\c.adenocarcinoma\colonca1037.jpeg,colon_image_sets,c.adenocarcinoma
..\Progetto\Dataset\colon lung 15000\colon_image_sets\c.adenocarcinoma\colonca1038.jpeg,colon_image_sets,c.adenocarcinoma
..\Progetto\Dataset\colon lung 15000\colon_image_sets\c.adenocarcinoma\colonca1039.jpeg,colon_image_sets,c.adenocarcinoma
..\Progetto\Dataset\colon lung 15000\colon_image_sets\c.adenocarcinoma\colonca104.jpeg,colon_image_sets,c.adenocarcinoma
..\Progetto\Dataset\colon lung 15000\colon_image_sets\c.adenocarcinoma\colonca1040.jpeg,colon_image_sets,c.adenocarcinoma
..\Progetto\Dataset\colon lung 15000\colon_image_sets\c.adenocarcinoma\colonca1041.jpeg,colon_image_sets,c.adenocarcinoma
..\Progetto\Dataset\colon lung 15000\colon_image_sets\c.adenocarcinoma\colonca1042.jpeg,colon_image_sets,c.adenocarcinoma
..\Progetto\Dataset\colon lung 15000\colon_image_sets\c.adenocarcinoma\colonca1043.jpeg,colon_image_sets,c.adenocarcinoma
..\Progetto\Dataset\colon lung 15000\colon_image_sets\c.adenocarcinoma\colonca1044.jpeg,colon_image_sets,c.adenocarcinoma
..\Progetto\Dataset\colon lung 15000\colon_image_sets\c.adenocarcinoma\colonca1045.jpeg,colon_image_sets,c.adenocarcinoma
..\Progetto\Dataset\colon lung 15000\colon_image_sets\c.adenocarcinoma\colonca1046.jpeg,colon_image_sets,c.adenocarcinoma
..\Progetto\Dataset\colon lung 15000\colon_image_sets\c.adenocarcinoma\colonca1047.jpeg,colon_image_sets,c.adenocarcinoma
..\Progetto\Dataset\colon lung 15000\colon_image_sets\c.adenocarcinoma\colonca1048.jpeg,colon_image_sets,c.adenocarcinoma
..\Progetto\Dataset\colon lung 15000\colon_image_sets\c.adenocarcinoma\colonca1049.jpeg,colon_image_sets,c.adenocarcinoma
..\Progetto\Dataset\colon lung 15000\colon_image_sets\c.adenocarcinoma\colonca105.jpeg,colon_image_sets,c.adenocarcinoma
..\Progetto\Dataset\colon lung 15000\colon_image_sets\c.adenocarcinoma\colonca1050.jpeg,colon_image_sets,c.adenocarcinoma
..\Progetto\Dataset\colon lung 15000\colon_image_sets\c.adenocarcinoma\colonca1051.jpeg,colon_image_sets,c.adenocarcinoma
..\Progetto\Dataset\colon lung 15000\colon_image_sets\c.adenocarcinoma\colonca1052.jpeg,colon_image_sets,c.adenocarcinoma
..\Progetto\Dataset\colon lung 15000\colon_image_sets\c.adenocarcinoma\colonca1053.jpeg,colon_image_sets,c.adenocarcinoma
..\Progetto\Dataset\colon lung 15000\colon_image_sets\c.adenocarcinoma\colonca1054.jpeg,colon_image_sets,c.adenocarcinoma
